pid,night_number,episode_index,train_index,cue_index,cue_type,took_place,epoch_sec,event_time_boston,volume,arousal_detected
09020306,2,7,0,,disruptive,False,18899,04:53:44,,
09020306,2,7,0,0,induction,True,19018,04:55:43,0,False
09020306,2,7,0,1,induction,True,19023,04:55:48,0.005,False
09020306,2,7,0,2,induction,True,19028,04:55:53,0.01,True
09020306,2,7,1,,disruptive,False,19328,05:00:53,,
09020306,2,7,1,0,induction,True,19448,05:02:53,0,False
09020306,2,7,1,1,induction,True,19453,05:02:58,0.005,False
09020306,2,7,2,,disruptive,False,19458,05:03:03,,
09020306,2,7,2,0,induction,True,19577,05:05:02,0,False
09020306,2,7,2,1,induction,True,19582,05:05:07,0.005,False
09020306,2,7,2,2,induction,True,19587,05:05:12,0.01,False
09020306,2,7,2,3,induction,True,19592,05:05:17,0.015,False
09020306,2,8,0,,disruptive,False,20247,05:16:12,,
09020306,2,8,0,0,induction,True,20366,05:18:11,0,False
09020306,2,8,0,1,induction,True,20371,05:18:16,0.005,False
09020306,2,8,0,2,induction,True,20376,05:18:21,0.01,False
09020306,2,8,0,3,induction,True,20381,05:18:26,0.015,False
09020306,2,8,0,4,induction,True,20386,05:18:31,0.02,False
09020306,2,8,0,5,induction,True,20391,05:18:36,0.025,False
09020306,2,8,0,6,induction,True,20396,05:18:41,0.03,False
09020306,2,8,0,7,induction,True,20401,05:18:46,0.035,False
09020306,2,8,0,8,induction,True,20406,05:18:51,0.04,False
09020306,2,8,0,9,induction,True,20411,05:18:56,0.045,False
09020306,2,8,0,10,induction,True,20416,05:19:01,0.05,True
09020306,1,0,0,,disruptive,False,14521,04:34:14,,
09020306,1,0,0,0,induction,True,14640,04:36:13,0,True
09020306,1,1,0,,disruptive,False,17125,05:17:38,,
09020306,1,1,0,0,induction,True,17244,05:19:37,0,True
09020306,1,3,0,,disruptive,False,18418,05:39:11,,
09020306,1,3,0,0,induction,True,18537,05:41:10,0,False
09020306,1,3,0,1,induction,True,18542,05:41:15,0.005,False
09020306,1,3,0,2,induction,True,18547,05:41:20,0.01,False
09020306,1,3,0,3,induction,True,18552,05:41:25,0.015,False
09020306,1,3,0,4,induction,True,18557,05:41:30,0.02,False
09020306,1,3,0,5,induction,True,18562,05:41:35,0.025,False
09020306,1,3,0,6,induction,True,18567,05:41:40,0.03,False
09020306,1,3,0,7,induction,True,18572,05:41:45,0.035,False
