StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q6,Q15,Q5,Q8,Q9,Q9_4_TEXT,Q10,Q11_1,Part1,Part2,Part3,Part4,PID
Date de commencement,Date de fin,Type de réponse,Adresse IP,Progrès,Durée (en secondes),Terminé,Date enregistrée,Identifiant de la réponse,Nom du destinataire,Prénom du destinataire,Adresse e-mail du destinataire,Référence externe de données,Latitude de l'emplacement,Longitude de l'emplacement,Canal de distribution,Langue de l'utilisateur,Please add your initial and date if you give permission for your voice audio to be recorded for this study.,Do you have any implanted medical devices (such as pacemakers) or any condition that would make sleeping with a phone in bed unsafe?,"SIGNATURE OF RESEARCH PARTICIPANT OR LEGAL REPRESENTATIVE




I have read (or someone has read to me) the information provided above. I have been given an opportunity to ask questions and all of my questions have been answered to my satisfaction. I have been given a copy of this form. 
	



BY SIGNING THIS FORM, I WILLINGLY AGREE TO PARTICIPATE IN THE RESEARCH IT DESCRIBES.",Age,Gender - Selected Choice,Gender - Other - Text,How often do you experience lucid dreams?,"Rate your sleep quality over the past week: - (0 = very poor,             10 = excellent)",Part1,Part2,Part3,Part4,PID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_4_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""Part1""}","{""ImportId"":""Part2""}","{""ImportId"":""Part3""}","{""ImportId"":""Part4""}","{""ImportId"":""PID""}"
2026-05-28 14:21:25,2026-05-28 14:22:53,Adresse IP,18.27.119.133,100,88,Vrai,2026-05-28 14:22:54,R_12GqvisELnkLiQn,,,,,42.3649,-71.0987,anonymous,EN,Katie Morrell 5/28/26,No,Yes,32,Female,,A few times per year,7,16,19,78,17,
2026-05-29 05:47:57,2026-05-29 06:13:04,Adresse IP,146.75.210.19,100,1506,Vrai,2026-05-29 06:13:04,R_2vIGEvmvcrlzXdD,,,,,40.4153,-3.694,anonymous,EN,AMC 05-29-2026,Yes,Yes,,,,,,17,62,41,20,
2026-05-29 15:41:19,2026-05-29 15:44:36,Adresse IP,24.60.0.240,100,197,Vrai,2026-05-29 15:44:37,R_1CvjDz5TEqRrvV0,,,,,42.3912,-71.0882,anonymous,EN,"J.P. May 29, 2026",No,Yes,28,Female,,Less than once per year,7,41,11,99,29,
2026-05-29 17:45:17,2026-05-29 17:52:38,Adresse IP,172.225.203.108,100,440,Vrai,2026-05-29 17:52:38,R_3vjgncoEalISjF1,,,,,34.0007,-81.0348,anonymous,EN,JY 05/29/26,No,Yes,19,Male,,A few times per year,7,82,18,42,84,
2026-05-29 17:53:30,2026-05-29 17:56:46,Adresse IP,108.26.253.174,100,195,Vrai,2026-05-29 17:56:46,R_1qEuctWBwfmSAcW,,,,,42.4684,-70.9465,anonymous,EN,ECR 5/29/2026,Yes,Yes,,,,,,57,27,48,51,
2026-05-29 17:56:56,2026-05-29 18:01:09,Adresse IP,108.26.253.174,100,252,Vrai,2026-05-29 18:01:09,R_7lnPDllUdmgM0eJ,,,,,42.4684,-70.9465,anonymous,EN,E 6/29/26,No,Yes,19,Male,,Less than once per year,4,28,49,68,30,
2026-05-29 18:23:48,2026-05-29 18:27:22,Adresse IP,128.120.85.206,100,213,Vrai,2026-05-29 18:27:22,R_3zaXKjd7OHdwbJf,,,,,38.5559,-121.7391,anonymous,EN,SAB 05/29/2026,No,Yes,22,Female,,Several times per week,6,98,10,55,71,
2026-05-29 18:40:28,2026-05-29 18:43:36,Adresse IP,172.226.132.2,100,188,Vrai,2026-05-29 18:43:37,R_2J3JLzVGbsKDloU,,,,,47.3643,8.5437,anonymous,EN,"E, 30 May 2026",No,Yes,24,Male,,Never,9,37,88,71,87,
2026-05-29 21:39:14,2026-05-29 21:43:25,Adresse IP,174.233.17.179,100,250,Vrai,2026-05-29 21:43:26,R_5LxsyplHHgHZqFP,,,,,42.7117,-71.1663,anonymous,EN,CF 5/29/26,No,Yes,22,Female,,Less than once per year,8,42,28,92,16,
2026-05-30 01:09:01,2026-05-30 01:19:33,Adresse IP,172.225.130.36,100,632,Vrai,2026-05-30 01:19:34,R_7t9coZvcUX4NxMl,,,,,41.8483,-87.6517,anonymous,EN,TS 05/30/26,No,Yes,21,Female,,A few times per year,6,84,95,19,86,
2026-05-31 12:05:52,2026-05-31 12:06:42,Adresse IP,172.56.195.222,100,50,Vrai,2026-05-31 12:06:42,R_3Pb26GA5Vrxv53D,,,,,42.4125,-71.0034,anonymous,EN,SN,No,Yes,24,Female,,A few times per year,8,15,53,85,50,
2026-06-01 14:28:04,2026-06-01 14:37:44,Adresse IP,172.58.211.70,100,580,Vrai,2026-06-01 14:37:44,R_7nT9GS2mFMKtu5R,,,,,33.9555,-118.2863,anonymous,EN,AG 06/01/2026,No,Yes,19,Male,,Never,7,49,93,96,99,
2026-06-01 16:49:15,2026-06-01 16:50:56,Adresse IP,147.185.131.178,100,101,Vrai,2026-06-01 16:50:57,R_3QFIr4CYE4FChda,,,,,42.3364,-71.0326,anonymous,EN,dka06012026,No,Yes,22,Male,,Never,7,10,74,46,78,
2026-06-01 19:13:31,2026-06-01 19:23:41,Adresse IP,18.29.41.228,100,610,Vrai,2026-06-01 19:23:42,R_5ifzpMM7fmnnvVf,,,,,42.3649,-71.0987,anonymous,EN,AL 6/1/2026,No,Yes,21,Non-binary,,A few times per year,3,45,28,51,10,
